link,text,category,product
https://www.paspaley.com/jewellery/pearl-bracelets/kimberley-onyx-bracelet-circle-pearl,Kimberley Onyx Bracelet - Circlé Pearl,bracelets,kimberley-onyx-bracelet-circle-pearl
https://www.paspaley.com/jewellery/pearl-bracelets/kimberley-bracelet-circle-pearl,Kimberley Bracelet - Circlé Pearl,bracelets,kimberley-bracelet-circle-pearl
https://www.paspaley.com/jewellery/pearl-bracelets/kimberley-bracelet-petite-circle-pearl,Kimberley Bracelet - Petite Circlé Pearl,bracelets,kimberley-bracelet-petite-circle-pearl
https://www.paspaley.com/jewellery/pearl-bracelets/kimberley-bracelet-button-pearl,Kimberley Bracelet - Button Pearl,bracelets,kimberley-bracelet-button-pearl
https://www.paspaley.com/jewellery/pearl-bracelets/kimberley-bracelet-petite-triangle-pearl,"Kimberley Bracelet - 
Petite Triangle pearl",bracelets,kimberley-bracelet-petite-triangle-pearl
https://www.paspaley.com/jewellery/pearl-bracelets/odyssey-pod-bracelet-yellow-gold,Odyssey Pod Bracelet - Yellow Gold,bracelets,odyssey-pod-bracelet-yellow-gold
https://www.paspaley.com/jewellery/pearl-clasps/touchstone-sapphire-clasp-yellow-gold,Touchstone Sapphire Clasp - Yellow Gold,clasps,touchstone-sapphire-clasp-yellow-gold
https://www.paspaley.com/jewellery/pearl-clasps/touchstone-sapphire-clasp-white-gold,Touchstone Sapphire Clasp - White Gold,clasps,touchstone-sapphire-clasp-white-gold
https://www.paspaley.com/jewellery/pearl-clasps/monsoon-budding-flower-clasp-yellow-gold,"Monsoon Budding Flower 
Clasp - Yellow Gold",clasps,monsoon-budding-flower-clasp-yellow-gold
https://www.paspaley.com/jewellery/pearl-clasps/monsoon-budding-flower-clasp-white-gold,"Monsoon Budding Flower 
Clasp - White Gold",clasps,monsoon-budding-flower-clasp-white-gold
https://www.paspaley.com/jewellery/pearl-clasps/rockpool-mother-of-pearl-clasp-yellow-gold,"Rockpool Mother-of-Pearl 
Clasp - Yellow Gold",clasps,rockpool-mother-of-pearl-clasp-yellow-gold
https://www.paspaley.com/jewellery/pearl-clasps/rockpool-mother-of-pearl-clasp-white-gold,"Rockpool Mother-of-Pearl 
Clasp - White Gold",clasps,rockpool-mother-of-pearl-clasp-white-gold
https://www.paspaley.com/jewellery/pearl-clasps/rockpool-pave-clasp-yellow-gold,Rockpool Pave Clasp - Yellow Gold,clasps,rockpool-pave-clasp-yellow-gold
https://www.paspaley.com/jewellery/pearl-clasps/rockpool-pave-clasp-white-gold,Rockpool Pave Clasp - White Gold,clasps,rockpool-pave-clasp-white-gold
https://www.paspaley.com/jewellery/pearl-clasps/maxima-clasp-white-gold,Maxima Clasp - White Gold,clasps,maxima-clasp-white-gold
https://www.paspaley.com/jewellery/pearl-clasps/maxima-clasp-yellow-gold,Maxima Clasp - Yellow Gold,clasps,maxima-clasp-yellow-gold
https://www.paspaley.com/jewellery/pearl-clasps/touchstone-diamond-clasp-yellow-gold,Touchstone Diamond Clasp - Yellow Gold,clasps,touchstone-diamond-clasp-yellow-gold
https://www.paspaley.com/jewellery/pearl-clasps/touchstone-black-diamond-clasp-white-gold,"Touchstone Black Diamond 
Clasp - White Gold",clasps,touchstone-black-diamond-clasp-white-gold
https://www.paspaley.com/jewellery/pearl-clasps/touchstone-ruby-clasp-yellow-gold,Touchstone Ruby Clasp - Yellow Gold,clasps,touchstone-ruby-clasp-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/shepherd-hook-earrings-circle-white-gold,"Shepherd Hook Earrings 
Circle - White Gold",earrings,shepherd-hook-earrings-circle-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/shepherd-hook-earrings-circle-yellow-gold,"Shepherd Hook Earrings 
Circle - Yellow Gold",earrings,shepherd-hook-earrings-circle-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/shepherd-hook-earrings-oval-white-gold,Shepherd Hook Earrings Oval - White Gold,earrings,shepherd-hook-earrings-oval-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/shepherd-hook-earrings-oval-yellow-gold,"Shepherd Hook Earrings 
Oval - Yellow Gold",earrings,shepherd-hook-earrings-oval-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/diamond-shepherd-hook-earrings-round-yellow-gold,"Diamond Shepherd Hook 
Earrings Round - Yellow Gold",earrings,diamond-shepherd-hook-earrings-round-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/diamond-shepherd-hook-earrings-round-white-gold,"Diamond Shepherd Hook 
Earrings Round - White Gold",earrings,diamond-shepherd-hook-earrings-round-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/diamond-shepherd-hook-earrings-13mm-round-yellow-gold,"Diamond Shepherd Hook 
Earrings 13mm Round - Yellow Gold",earrings,diamond-shepherd-hook-earrings-13mm-round-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/keshi-pearl-studs-7mm,Keshi Pearl Studs - 7mm,earrings,keshi-pearl-studs-7mm
https://www.paspaley.com/jewellery/pearl-earrings/keshi-pearl-studs-9mm,Keshi Pearl Studs - 9mm,earrings,keshi-pearl-studs-9mm
https://www.paspaley.com/jewellery/pearl-earrings/round-pearl-studs-9mm,Round Pearl Studs - 9mm,earrings,round-pearl-studs-9mm
https://www.paspaley.com/jewellery/pearl-earrings/button-pearl-studs-11mm,Button Pearl Studs - 11mm,earrings,button-pearl-studs-11mm
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-earring-enhancer-yellow-gold,Monsoon Earring Enhancer - Yellow Gold,earrings,monsoon-earring-enhancer-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-earring-enhancer-white-gold,Monsoon Earring Enhancer - White Gold,earrings,monsoon-earring-enhancer-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/megisti-lapis-hoop-earrings,MEGISTI LAPIS HOOP EARRINGS,earrings,megisti-lapis-hoop-earrings
https://www.paspaley.com/jewellery/pearl-earrings/megisti-lapis-earrings,MEGISTI LAPIS EARRINGS,earrings,megisti-lapis-earrings
https://www.paspaley.com/jewellery/pearl-earrings/touchstone-dew-drop-earrings-white-gold,"Touchstone Dew Drop 
Earrings - White Gold",earrings,touchstone-dew-drop-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/maxima-studs-white-gold,Maxima Studs - White Gold,earrings,maxima-studs-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/megisti-turquoise-hoop-earrings,MEGISTI TURQUOISE HOOP EARRINGS,earrings,megisti-turquoise-hoop-earrings
https://www.paspaley.com/jewellery/pearl-earrings/megisti-pink-opal-earrings,MEGISTI PINK OPAL EARRINGS,earrings,megisti-pink-opal-earrings
https://www.paspaley.com/jewellery/pearl-earrings/megisti-turquoise-earrings,MEGISTI TURQUOISE  EARRINGS,earrings,megisti-turquoise-earrings
https://www.paspaley.com/jewellery/pearl-earrings/maxima-opal-chandelier-earring-enhancer,Maxima Opal Chandelier Earring Enhancer,earrings,maxima-opal-chandelier-earring-enhancer
https://www.paspaley.com/jewellery/pearl-earrings/boronia-earrings,Boronia Earrings,earrings,boronia-earrings
https://www.paspaley.com/jewellery/pearl-earrings/touchstone-dew-drop-earrings-yellow-gold,"Touchstone Dew Drop 
Earrings -  Yellow Gold",earrings,touchstone-dew-drop-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-noir-earrings-rose-gold,Lavalier Noir Earrings - Rose Gold,earrings,lavalier-noir-earrings-rose-gold
