link,text,collection,product,year
https://www.paspaley.com/pearl-collections/pearls-my-way/touchstone-sapphire-earrings-yellow-gold,"Touchstone Sapphire 
Earrings - Yellow Gold",bespoke,touchstone-sapphire-earrings-yellow-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/touchstone-sapphire-earrings-white-gold,"Touchstone Sapphire 
Earrings - White Gold",bespoke,touchstone-sapphire-earrings-white-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/touchstone-ruby-12mm-round-pendant-yellow-gold,"Touchstone Ruby 12mm Round
 Pendant - Yellow Gold",bespoke,touchstone-ruby-12mm-round-pendant-yellow-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/diamond-touchstone-pendant-13mm-oval-yellow-gold,"Diamond Touchstone Pendant
 13mm Oval  - Yellow Gold",bespoke,diamond-touchstone-pendant-13mm-oval-yellow-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/pearls-my-way-pave-pendant-14mm-round-white-gold,"Pearls My Way Pave Pendant
 14mm Round - White Gold",bespoke,pearls-my-way-pave-pendant-14mm-round-white-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/diamond-touchstone-earrings-12mm-oval-yellow-gold,"Diamond Touchstone 
Earrings 12mm Oval  - Yellow Gold",bespoke,diamond-touchstone-earrings-12mm-oval-yellow-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/diamond-touchstone-earrings-14mm-baroque-white-gold,"Diamond Touchstone 
Earrings 14mm Baroque  - White Gold",bespoke,diamond-touchstone-earrings-14mm-baroque-white-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/pearls-my-way-pave-earrings-13mm-round-white-gold,"Pearls My Way Pave 
Earrings 13mm Round - White Gold",bespoke,pearls-my-way-pave-earrings-13mm-round-white-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/pearls-my-way-diamond-earrings-10mm-oval-yellow-gold,"Pearls My Way Diamond 
Earrings 10mm Oval - Yellow Gold",bespoke,pearls-my-way-diamond-earrings-10mm-oval-yellow-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/pearls-my-way-diamond-earrings-12mm-oval-white-gold,"Pearls My Way Diamond 
Earrings 12mm Oval  - White Gold",bespoke,pearls-my-way-diamond-earrings-12mm-oval-white-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/pearls-my-way-10mm-circle-earrings-yellow-gold,"Pearls My Way 10mm Circle 
Earrings - Yellow Gold",bespoke,pearls-my-way-10mm-circle-earrings-yellow-gold,2019
https://www.paspaley.com/pearl-collections/pearls-my-way/pearls-my-way-10mm-oval-earrings-white-gold,"Pearls My Way 10mm Oval 
Earrings - White Gold",bespoke,pearls-my-way-10mm-oval-earrings-white-gold,2019
https://www.paspaley.com/pearl-collections/the-kimberley-bracelet/kimberley-bracelet-petite-circle-pearl,Kimberley Bracelet - Petite Circlé Pearl,kimberley,kimberley-bracelet-petite-circle-pearl,2019
https://www.paspaley.com/pearl-collections/the-kimberley-bracelet/kimberley-bracelet-button-pearl,Kimberley Bracelet - Button Pearl,kimberley,kimberley-bracelet-button-pearl,2019
https://www.paspaley.com/pearl-collections/the-kimberley-bracelet/kimberley-bracelet-circle-pearl,Kimberley Bracelet - Circlé Pearl,kimberley,kimberley-bracelet-circle-pearl,2019
https://www.paspaley.com/pearl-collections/the-kimberley-bracelet/kimberley-onyx-bracelet-round-pearl,Kimberley Onyx Bracelet - Round Pearl,kimberley,kimberley-onyx-bracelet-round-pearl,2019
https://www.paspaley.com/pearl-collections/the-kimberley-bracelet/kimberley-onyx-bracelet-circle-pearl,Kimberley Onyx Bracelet - Circlé Pearl,kimberley,kimberley-onyx-bracelet-circle-pearl,2019
https://www.paspaley.com/pearl-collections/the-kimberley-bracelet/kimberley-bracelet-petite-triangle-pearl,"Kimberley Bracelet - 
Petite Triangle pearl",kimberley,kimberley-bracelet-petite-triangle-pearl,2019
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-rose-gold,Lavalier Noir - Rose Gold,lavalier,lavalier-noir-rose-gold,2019
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-diamond-hero-white-gold,Lavalier Noir Diamond Hero - White Gold,lavalier,lavalier-noir-diamond-hero-white-gold,2019
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-black-opal,Lavalier Noir - Black Opal,lavalier,lavalier-noir-black-opal,2019
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-earrings-rose-gold,Lavalier Noir Earrings - Rose Gold,lavalier,lavalier-noir-earrings-rose-gold,2019
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-diamond-hero-earrings,Lavalier Noir Diamond Hero Earrings,lavalier,lavalier-noir-diamond-hero-earrings,2019
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-earrings-black-opal,Lavalier Noir Earrings - Black Opal,lavalier,lavalier-noir-earrings-black-opal,2019
https://www.paspaley.com/pearl-collections/lavalier/lavalier-petite-diamond-rose-gold,Lavalier Petite Diamond - Rose Gold,lavalier,lavalier-petite-diamond-rose-gold,2019
