link,text,category,product,year
https://www.paspaley.com/jewellery/pearl-rings/keshi-eternity-ring-yellow-gold,Keshi Eternity Ring - Yellow Gold,rings,keshi-eternity-ring-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-rings/keshi-eternity-ring-white-gold,Keshi Eternity Ring - White Gold,rings,keshi-eternity-ring-white-gold,2021
https://www.paspaley.com/jewellery/pearl-rings/pave-cherish-ring-yellow-gold,Pave Cherish Ring - Yellow Gold,rings,pave-cherish-ring-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-rings/pavé-cherish-ring-white-gold,Pavé Cherish Ring - White Gold,rings,pavé-cherish-ring-white-gold,2021
https://www.paspaley.com/jewellery/pearl-rings/embrace-the-sea-ring-yellow-gold,Embrace the Sea Ring - Yellow Gold,rings,embrace-the-sea-ring-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-rings/rockpool-ring-white-gold,Rockpool Ring - White Gold,rings,rockpool-ring-white-gold,2021
https://www.paspaley.com/jewellery/pearl-rings/touchstone-ruby-ring-yellow-gold,Touchstone Ruby Ring - Yellow Gold,rings,touchstone-ruby-ring-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/dive-charm-bracelet-mermaid-yellow-gold,Dive Charm Bracelet - Mermaid - Yellow Gold,bracelet,dive-charm-bracelet-mermaid-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/dive-charm-bracelet-paspaley-1935-white-gold,Dive Charm Bracelet - Paspaley 1935 - White Gold,bracelet,dive-charm-bracelet-paspaley-1935-white-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/dive-charm-bracelet-yellow-gold,Dive Charm Bracelet - Yellow Gold,bracelet,dive-charm-bracelet-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/dive-charm-bracelet-white-gold,Dive Charm Bracelet - White Gold,bracelet,dive-charm-bracelet-white-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/delfini-smooth-strand-bracelet,DELFINI SMOOTH STRAND BRACELET,bracelet,delfini-smooth-strand-bracelet,2021
https://www.paspaley.com/jewellery/pearl-bracelets/strand-bracelet-circlé,Strand Bracelet - Circlé,bracelet,strand-bracelet-circlé,2021
https://www.paspaley.com/jewellery/pearl-bracelets/circlé-strand-bracelet,Circlé - Strand Bracelet,bracelet,circlé-strand-bracelet,2021
https://www.paspaley.com/jewellery/pearl-bracelets/rhapsody-strand-bracelet,Rhapsody Strand Bracelet,bracelet,rhapsody-strand-bracelet,2021
https://www.paspaley.com/jewellery/pearl-bracelets/delfini-strand-bracelet--petite,DELFINI STRAND BRACELET- PETITE,bracelet,delfini-strand-bracelet--petite,2021
https://www.paspaley.com/jewellery/pearl-bracelets/round-pearl-strand-bracelet,Round Pearl Strand Bracelet,bracelet,round-pearl-strand-bracelet,2021
https://www.paspaley.com/jewellery/pearl-bracelets/kimberley-dark-bracelet-–-circle-pearl,Kimberley Dark Bracelet – Circle Pearl,bracelet,kimberley-dark-bracelet-–-circle-pearl,2021
https://www.paspaley.com/jewellery/pearl-bracelets/kimberley-light-bracelet-petite-circle-pearl,Kimberley Light Bracelet - Petite Circle Pearl,bracelet,kimberley-light-bracelet-petite-circle-pearl,2021
https://www.paspaley.com/jewellery/pearl-bracelets/kimberley-dark-bracelet-–-double-circle-pearl,Kimberley Dark Bracelet – Double Circle Pearl,bracelet,kimberley-dark-bracelet-–-double-circle-pearl,2021
