link,text,collection,product,year
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-rose-gold,Lavalier Noir - Rose Gold,lavalier.htm,lavalier-noir-rose-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-diamond-hero-white-gold,Lavalier Noir Diamond Hero - White Gold,lavalier.htm,lavalier-noir-diamond-hero-white-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-black-opal,Lavalier Noir - Black Opal,lavalier.htm,lavalier-noir-black-opal,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-earrings-rose-gold,Lavalier Noir Earrings - Rose Gold,lavalier.htm,lavalier-noir-earrings-rose-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-diamond-hero-earrings,Lavalier Noir Diamond Hero Earrings,lavalier.htm,lavalier-noir-diamond-hero-earrings,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-noir-earrings-black-opal,Lavalier Noir Earrings - Black Opal,lavalier.htm,lavalier-noir-earrings-black-opal,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-circl%C3%A9-rose-gold,Lavalier Circlé - Rose Gold,lavalier.htm,lavalier-circl%C3%A9-rose-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-opal-hero-rose-gold,Lavalier Opal Hero - Rose Gold,lavalier.htm,lavalier-opal-hero-rose-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-petite-circl%C3%A9-yellow-gold,Lavalier Petite Circlé - Yellow Gold,lavalier.htm,lavalier-petite-circl%C3%A9-yellow-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-petite-circl%C3%A9-white-gold,Lavalier Petite Circlé - White Gold,lavalier.htm,lavalier-petite-circl%C3%A9-white-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-earrings-circl%C3%A9-yellow-gold,Lavalier Earrings Circlé - Yellow Gold,lavalier.htm,lavalier-earrings-circl%C3%A9-yellow-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-earrings-circl%C3%A9-white-gold,Lavalier Earrings Circlé - White Gold,lavalier.htm,lavalier-earrings-circl%C3%A9-white-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-circl%C3%A9-yellow-gold,Lavalier Circlé - Yellow Gold,lavalier.htm,lavalier-circl%C3%A9-yellow-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-circl%C3%A9-white-gold,Lavalier Circlé - White Gold,lavalier.htm,lavalier-circl%C3%A9-white-gold,2020
https://www.paspaley.com/pearl-collections/lavalier/lavalier-opal-hero-earrings-rose-gold,Lavalier Opal Hero Earrings - Rose Gold,lavalier.htm,lavalier-opal-hero-earrings-rose-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-opal-chandelier-earring-enhancer,Maxima Opal Chandelier Earring Enhancer,maxima.htm,maxima-opal-chandelier-earring-enhancer,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-rope-necklace-white-gold,Maxima Rope Necklace - White Gold,maxima.htm,maxima-rope-necklace-white-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-necklet-white-gold,Maxima Necklet - White Gold,maxima.htm,maxima-necklet-white-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-studs-white-gold,Maxima Studs - White Gold,maxima.htm,maxima-studs-white-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-black-chain-bracelet,Maxima Black Chain Bracelet,maxima.htm,maxima-black-chain-bracelet,2020
