link,text,collection,product,year
/collections/the-kimberley-bracelet/products/kimberley-bracelet-10-11mm,Kimberley Bracelet,kimberley,kimberley-bracelet-10-11mm,2017
/collections/the-kimberley-bracelet/products/kimberley-bracelet-12mm,Kimberley Bracelet,kimberley,kimberley-bracelet-12mm,2017
/collections/the-kimberley-bracelet/products/kimberley-bracelet-triangle,Kimberley Bracelet,kimberley,kimberley-bracelet-triangle,2017
/collections/the-kimberley-bracelet/products/kimberley-bracelet-13mm,Kimberley Bracelet,kimberley,kimberley-bracelet-13mm,2017
/collections/the-kimberley-bracelet/products/kimberley-bracelet-australian-south-sea-pearl,Kimberley Bracelet,kimberley,kimberley-bracelet-australian-south-sea-pearl,2017
/collections/lavalier/products/lavalier-circle-yellow-gold,Lavalier - Circlé,lavalier,lavalier-circle-yellow-gold,2017
/collections/lavalier/products/lavalier-earrings-circle-yellow-gold,Lavalier Earrings - Circlé,lavalier,lavalier-earrings-circle-yellow-gold,2017
/collections/lavalier/products/lavalier-petite-circle-white-gold,Lavalier Petite - Circlé,lavalier,lavalier-petite-circle-white-gold,2017
/collections/lavalier/products/lavalier-petite-circle-yellow-gold,Lavalier Petite - Circlé,lavalier,lavalier-petite-circle-yellow-gold,2017
/collections/lavalier/products/lavalier-circle-white-gold,Lavalier - Circlé,lavalier,lavalier-circle-white-gold,2017
/collections/lavalier/products/lavalier-bleu-tassel,Lavalier Bleu - Tassel,lavalier,lavalier-bleu-tassel,2017
/collections/lavalier/products/lavalier-bleu-earrings-round,Lavalier Bleu Earrings - Round,lavalier,lavalier-bleu-earrings-round,2017
/collections/lavalier/products/lavalier-bleu-petite-button,Lavalier Bleu Petite - Button,lavalier,lavalier-bleu-petite-button,2017
/collections/lavalier/products/lavalier-bleu-petite-round,Lavalier Bleu Petite - Round,lavalier,lavalier-bleu-petite-round,2017
/collections/lavalier/products/lavalier-diamond-petite-button,Lavalier Diamond Petite - Button,lavalier,lavalier-diamond-petite-button,2017
/collections/lavalier/products/lavalier-diamond-petite-round,Lavalier Diamond Petite - Round,lavalier,lavalier-diamond-petite-round,2017
/collections/lavalier/products/lavalier-earrings-circle-white-gold,Lavalier Earrings - Circlé,lavalier,lavalier-earrings-circle-white-gold,2017
/collections/lavalier/products/lavalier-noir-button,Lavalier Noir - Button,lavalier,lavalier-noir-button,2017
/collections/lavalier/products/lavalier-noir-round,Lavalier Noir - Round,lavalier,lavalier-noir-round,2017
/collections/lavalier/products/lavalier-opal-button,Lavalier Opal - Button,lavalier,lavalier-opal-button,2017
/collections/lavalier/products/lavalier-opal-round,Lavalier Opal - Round,lavalier,lavalier-opal-round,2017
/collections/lavalier/products/lavalier-opal-earrings-round,Lavalier Opal Earrings - Round,lavalier,lavalier-opal-earrings-round,2017
/collections/lavalier/products/lavalier-opal-hero,Lavalier Opal Hero,lavalier,lavalier-opal-hero,2017
/collections/lavalier/products/lavalier-petite-round-white-gold,Lavalier Petite - Round,lavalier,lavalier-petite-round-white-gold,2017
/collections/lavalier/products/lavalier-petite-round-yellow-gold,Lavalier Petite - Round,lavalier,lavalier-petite-round-yellow-gold,2017
/collections/lavalier/products/lavalier-ruby-and-chrysophrase,Lavalier Ruby and Chrysophrase,lavalier,lavalier-ruby-and-chrysophrase,2017
/collections/lavalier/products/lavalier-ruby-petite-button,Lavalier Ruby Petite - Button,lavalier,lavalier-ruby-petite-button,2017
/collections/lavalier/products/lavalier-ruby-petite-round,Lavalier Ruby Petite - Round,lavalier,lavalier-ruby-petite-round,2017
/collections/lavalier/products/lavalier-white-diamond-tassel,Lavalier White Diamond- Tassel,lavalier,lavalier-white-diamond-tassel,2017
/collections/lavalier/products/lavalier-white-gold-opal-button,Lavalier White Gold Opal - Button,lavalier,lavalier-white-gold-opal-button,2017
/collections/lavalier/products/lavalier-white-gold-opal-round,Lavalier White Gold Opal - Round,lavalier,lavalier-white-gold-opal-round,2017
/collections/maxima/products/maxima-black-mop-necklet,Maxima Black MOP Necklet,maxima,maxima-black-mop-necklet,2017
/collections/maxima/products/maxima-black-long-mop-earrings-white-gold,Maxima Black Long MOP Earrings - White Gold,maxima,maxima-black-long-mop-earrings-white-gold,2017
