sku,collection,category,price_in_2017,price_in_2018,change,product.x,percent_change,product.y
W17N01W,Maxima,Necklaces And Pendants,3880,3880,0,pearl-necklaces-maxima-black-necklet-white-gold,0,pearl-necklaces-maxima-black-necklet-white-gold
W17N02WPR11,Maxima,Necklaces And Pendants,59800,59800,0,pearl-necklaces-maxima-black-rope-necklace-white-gold,0,pearl-necklaces-maxima-black-rope-necklace-white-gold
X17B12PKQ08,Rockpool,Bracelets,128000,128000,0,pearl-bracelets-rockpool-tanzanite-bracelet-platinum,0,pearl-bracelets-rockpool-tanzanite-bracelet-platinum
X17C10WKQ05,Rockpool,Necklaces And Pendants,9880,10800,9.31,pearl-necklaces-rockpool-long-chain-white-gold,9.31,pearl-necklaces-rockpool-long-chain-white-gold
X17E10WPR12,Rockpool,Earrings,29800,29800,0,pearl-earrings-rockpool-pave-shell-earrings-white-gold,0,pearl-earrings-rockpool-pave-shell-earrings-white-gold
X17E10YPR12,Rockpool,Earrings,29800,29800,0,pearl-earrings-rockpool-pave-shell-earrings-yellow-gold,0,pearl-earrings-rockpool-pave-shell-earrings-yellow-gold
X17E12PKQ09,Rockpool,Earrings,68800,68800,0,pearl-earrings-rockpool-paraiba-earrings-platinum,0,pearl-earrings-rockpool-paraiba-earrings-platinum
X17E13PKQ06,Rockpool,Earrings,12800,8880,-30.63,pearl-earrings-rockpool-cluster-earrings-platinum,-30.63,pearl-earrings-rockpool-cluster-earrings-platinum
X17N10PKQ11,Rockpool,Necklaces And Pendants,388000,388000,0,pearl-necklaces-rockpool-paraiba-collier-platinum,0,pearl-necklaces-rockpool-paraiba-collier-platinum
X17N11PKQ06,Rockpool,Necklaces And Pendants,258000,258000,0,pearl-necklaces-rockpool-tanzanite-collier-platinum,0,pearl-necklaces-rockpool-tanzanite-collier-platinum
X17P10W,Rockpool,Necklaces And Pendants,6880,7280,5.81,pearl-necklaces-rockpool-petite-pendant-white-gold,5.81,pearl-necklaces-rockpool-petite-pendant-white-gold
X17P10Y,Rockpool,Necklaces And Pendants,6880,7280,5.81,pearl-necklaces-rockpool-petite-pendant-yellow-gold,5.81,pearl-necklaces-rockpool-petite-pendant-yellow-gold
X17P11WKQ06,Rockpool,Necklaces And Pendants,8980,9280,3.34,pearl-necklaces-rockpool-pendant-white-gold,3.34,pearl-necklaces-rockpool-pendant-white-gold
X17P11YKQ06,Rockpool,Necklaces And Pendants,8980,9280,3.34,pearl-necklaces-rockpool-pendant-yellow-gold,3.34,pearl-necklaces-rockpool-pendant-yellow-gold
